ID,sp,sp.x,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,sp.y,oral_PC1,oral_PC2,d15N,d13C
JUC3,Spaery,Spaery,-0.0276844115282802,0.0234218903162391,0.046902187154353,-0.0754268210796898,Spaery,-0.00542294017159785,0.00832544825323115,5.746522467,-13.67886667
JUC4,Spaery,Spaery,-0.0333529644019723,0.0246535107710768,0.0543507983072026,-0.0548716445589719,Spaery,-0.00625067446023184,0.0081518723191094,5.552764787,-12.85818738
JUC5,Spaery,Spaery,-0.0311008798155497,0.0165201697207161,0.0518589695417847,-0.0462007430672384,Spaery,-0.00281093141580703,0.00447853888601011,5.856197643,-13.3008968
JUC6,Spaery,Spaery,-0.0288154070337287,0.0421709745675275,NA,NA,NA,-0.0134821932062774,0.00745834206650979,6.343812466,-14.85162356
JUC7,Spaery,Spaery,-0.0207970796707057,0.0136075243795456,0.061930572013897,-0.0529701479086136,Spaery,-0.0033485589329407,0.0038983019399021,5.868347154,-13.38118368
JUC8,Spaery,Spaery,-0.0228219625459665,0.0173484231954456,NA,NA,NA,-0.00528938527483177,0.00660022728046221,6.775942793,-13.81199075
JUC9,Spaery,Spaery,-0.0299920076796288,0.00926901626358966,NA,NA,NA,-0.00206370181638837,0.00336317075737464,5.670451904,-14.98149468
JUD1,Spaery,Spaery,-0.020633609653198,0.0122097191779406,NA,NA,NA,-0.00542232272516413,0.00818668521575556,5.615354016,-14.66956189
JUD7,TeldhN,TeldhN,0.00712809906360589,0.0066389776073305,0.0751500462424834,0.0144645918266424,TeldhN,0.00449691450251478,-0.000610950689288894,6.665695822,-20.74368271
JUD8,TeldhN,TeldhN,0.00154672482606007,0.027386350865068,0.0824546433197575,0.0345193697384207,TeldhN,-0.00773866748297974,0.00416780556750159,7.104452583,-21.22132553
JUE5,TeldhN,TeldhN,0.011116726341366,0.0193640115243208,0.0681050528050629,0.0219222640746681,TeldhN,0.00256004280372401,0.00159062973737874,6.579938818,-21.28780686
JUE6,TeldhN,TeldhN,0.0179141429928009,0.0175633468416253,NA,NA,NA,-0.000343913530330143,5.92453076299826e-05,6.533071619,-20.57185403
JUE7,TeldhN,TeldhN,0.0106172839293781,0.030661656266508,NA,NA,NA,-0.00113878665192651,0.00253005547232744,6.651735379,-20.52582849
JUF5,TeldhN,TeldhN,0.00854215344429755,0.0139783905966473,0.0899386197378135,0.0425924520043831,TeldhN,0.00473098459636387,0.00243504683463035,6.867727181,-21.2674798
JUF6,TeldhN,TeldhN,0.0157692054749571,0.0286611936713445,0.0859027548976079,0.0301748433579616,TeldhN,-0.000445669840338282,0.000684405586046117,7.279489603,-21.62659316
